Black Body Radiation Experiment Wed, Sep 23, 2020 12:48 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.01341
0.00000	-0.01196
0.00000	-0.01067
0.00000	-0.01228
0.00000	-0.00971
0.00000	-0.01486
0.00000	-0.01373
0.00000	-0.01454
0.00000	-0.01003
0.00000	-0.01631
0.00000	-0.01293
0.00000	-0.01502
0.00000	-0.01502
0.00000	-0.01325
0.00000	-0.01003
0.00000	-0.01325
0.00000	-0.00971
0.00000	-0.01003
0.00000	-0.01003
0.00000	-0.01438
0.00000	-0.01261
0.00000	-0.01083
0.00000	-0.01116
0.00000	-0.01245
0.00000	-0.01357
0.00000	-0.01583
0.00000	-0.01325
0.00000	-0.01003
0.00000	-0.01196
0.00000	-0.00955
0.00000	-0.00971
0.00000	-0.01293
0.00000	-0.01277
0.00000	-0.01760
0.00000	-0.01502
0.00000	-0.01486
0.00000	-0.01116
0.00000	-0.00906
0.00000	-0.01373
0.00000	-0.01180
0.00000	-0.00971
0.00000	-0.01406
0.00000	-0.01277
0.00000	-0.01293
0.00000	-0.01551
0.00000	-0.01148
0.00000	-0.01518
0.00000	-0.01051
0.00000	-0.00842
0.00000	-0.01905
0.00000	-0.01132
0.00000	-0.01277
0.00000	-0.01406
0.00000	-0.01245
0.00000	-0.01083
0.00000	-0.01293
0.00000	-0.01438
0.00000	-0.01196
0.00000	-0.01067
0.00000	-0.01647
0.00000	-0.01180
0.00000	-0.01567
0.00000	-0.01277
0.00000	-0.01261
0.00000	-0.01470
0.00000	-0.01599
0.00000	-0.01486
0.00000	-0.01083
0.00000	-0.01422
0.00000	-0.01744
0.00000	-0.01470
0.00000	-0.01100
0.00000	-0.01132
0.00000	-0.01341
0.00000	-0.01083
0.00000	-0.01309
0.00000	-0.01003
0.00000	-0.01180
0.00000	-0.01228
0.00000	-0.01357
0.00000	-0.01551
0.00000	-0.01132
0.00000	-0.01341
0.00000	-0.01373
0.00000	-0.01293
0.00000	-0.01148
0.00000	-0.01245
0.00000	-0.01406
0.00000	-0.01196
0.00000	-0.01438
0.00000	-0.00777
0.00000	-0.01325
0.00000	-0.01325
0.00000	-0.00874
0.00000	-0.01438
0.00000	-0.01309
0.00000	-0.01132
0.00000	-0.01293
0.00000	-0.01148
0.00000	-0.01438
0.00000	-0.00729
0.00000	-0.01373
0.00000	-0.01245
0.00000	-0.01180
0.00000	-0.01293
0.00000	-0.01422
0.00000	-0.01293
0.00000	-0.00906
0.00000	-0.01245
0.00000	-0.01003
0.00000	-0.01212
0.00000	-0.01164
0.00000	-0.01406
0.00000	-0.01615
0.00000	-0.01277
0.00000	-0.01261
0.00000	-0.00971
0.00000	-0.01196
0.00000	-0.01051
0.00000	-0.01100
0.00000	-0.01325
0.00000	-0.01148
0.00000	-0.00987
0.00000	-0.01486
0.00000	-0.01551
0.00000	-0.01083
0.00000	-0.00987
0.00000	-0.01261
0.00000	-0.01212
0.00000	-0.00938
0.00000	-0.01212
0.00000	-0.01406
0.00000	-0.01357
0.00000	-0.01051
