Black Body Radiation Experiment Wed, Sep 23, 2020 2:56 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.06931
0.00000	-0.06061
0.00000	-0.06496
0.00000	-0.06206
0.00000	-0.06690
0.00000	-0.06206
0.00000	-0.06061
0.00000	-0.06625
0.00000	-0.06657
0.00000	-0.06754
0.00000	-0.06480
0.00000	-0.06190
0.00000	-0.06367
0.00000	-0.06625
0.00000	-0.06351
0.00000	-0.06899
0.00000	-0.06931
0.00000	-0.06496
0.00000	-0.06432
0.00000	-0.06577
0.00000	-0.06287
0.00000	-0.06206
0.00000	-0.06545
0.00000	-0.06690
0.00000	-0.06384
0.00000	-0.06577
0.00000	-0.06496
0.00000	-0.06706
0.00000	-0.06432
0.00000	-0.06577
0.00000	-0.06480
0.00000	-0.06641
0.00000	-0.06529
0.00000	-0.06529
0.00000	-0.06657
0.00000	-0.06641
0.00000	-0.06980
0.00000	-0.06077
0.00000	-0.06609
0.00000	-0.06512
0.00000	-0.06271
0.00000	-0.06770
0.00000	-0.07060
0.00000	-0.06367
0.00000	-0.06512
0.00000	-0.06561
0.00000	-0.06529
0.00000	-0.06641
0.00000	-0.06512
0.00000	-0.06496
0.00000	-0.06287
0.00000	-0.06641
0.00000	-0.06690
0.00000	-0.06512
0.00000	-0.06609
0.00000	-0.06899
0.00000	-0.06657
0.00000	-0.06625
0.00000	-0.06319
0.00000	-0.06432
0.00000	-0.06319
0.00000	-0.06432
0.00000	-0.06367
0.00000	-0.06545
0.00000	-0.06384
0.00000	-0.06674
0.00000	-0.06835
0.00000	-0.06529
0.00000	-0.06931
0.00000	-0.06770
0.00000	-0.06545
0.00000	-0.06367
0.00000	-0.06545
0.00000	-0.06802
0.00000	-0.06786
0.00000	-0.06577
0.00000	-0.06883
0.00000	-0.06690
0.00000	-0.06819
0.00000	-0.06335
0.00000	-0.06464
0.00000	-0.06384
0.00000	-0.06319
0.00000	-0.06400
0.00000	-0.06577
0.00000	-0.06577
0.00000	-0.06641
0.00000	-0.06915
0.00000	-0.06545
0.00000	-0.06625
0.00000	-0.06996
0.00000	-0.06496
0.00000	-0.06480
0.00000	-0.06222
0.00000	-0.06851
0.00000	-0.06561
0.00000	-0.06947
0.00000	-0.06835
0.00000	-0.06802
0.00000	-0.06287
0.00000	-0.06947
0.00000	-0.06899
0.00000	-0.06174
0.00000	-0.06367
0.00000	-0.06980
0.00000	-0.06545
0.00000	-0.06609
0.00000	-0.06754
0.00000	-0.06835
0.00000	-0.06512
0.00000	-0.06674
0.00000	-0.06947
0.00000	-0.06641
0.00000	-0.06802
0.00000	-0.06722
0.00000	-0.06754
0.00000	-0.06674
0.00000	-0.06432
0.00000	-0.06835
0.00000	-0.06706
0.00000	-0.06351
0.00000	-0.06722
0.00000	-0.06802
0.00000	-0.06947
0.00000	-0.07028
0.00000	-0.06915
0.00000	-0.06947
0.00000	-0.06609
0.00000	-0.06287
0.00000	-0.06657
0.00000	-0.06996
0.00000	-0.06819
0.00000	-0.06367
0.00000	-0.06577
0.00000	-0.06754
0.00000	-0.06835
0.00000	-0.06561
0.00000	-0.06867
0.00000	-0.07044
0.00000	-0.06786
0.00000	-0.06561
0.00000	-0.06480
0.00000	-0.06770
